id,name,block_code,district_id,created_at,updated_at,soil_samples_count,tests_count,results_count,soil_health_cards_count
23,,000,2,2015-11-04 18:28:09,2015-11-04 18:28:09,0,0,0,0
74,,000,4,2015-11-04 18:28:10,2015-11-04 18:28:10,0,0,0,0
87,,000,5,2015-11-04 18:28:10,2015-11-04 18:28:10,0,0,0,0
102,,000,6,2015-11-04 18:28:10,2015-11-04 18:28:10,0,0,0,0
121,,000,7,2015-11-04 18:28:11,2015-11-04 18:28:11,1,0,0,0
135,,000,9,2015-11-04 18:28:11,2015-11-04 18:28:11,0,0,0,0
148,,000,10,2015-11-04 18:28:11,2015-11-04 18:28:11,0,0,0,0
163,,000,11,2015-11-04 18:28:11,2015-11-04 18:28:11,0,0,0,0
190,,000,12,2015-11-04 18:28:12,2015-11-04 18:28:12,0,0,0,0
216,,000,13,2015-11-04 18:28:12,2015-11-04 18:28:12,0,0,0,0
243,,000,14,2015-11-04 18:28:12,2015-11-04 18:28:12,0,0,0,0
261,,000,15,2015-11-04 18:28:13,2015-11-04 18:28:13,0,0,0,0
282,,000,16,2015-11-04 18:28:13,2015-11-04 18:28:13,0,0,0,0
305,,000,17,2015-11-04 18:28:14,2015-11-04 18:28:14,0,0,0,0
343,,000,19,2015-11-04 18:28:14,2015-11-04 18:28:14,0,0,0,0
53,Not Available,034,2,2015-11-04 18:28:10,2015-11-04 18:28:10,0,0,0,0
54,Not Available,035,2,2015-11-04 18:28:10,2015-11-04 18:28:10,0,0,0,0
