id,soil_material_id,rating,lowest_val,highest_val,created_at,updated_at
1,1,1,0.0,5.5,2016-03-03 06:26:48.000000,2016-03-03 06:28:25.000000
2,1,2,5.5,6.5,2016-03-03 06:28:55.000000,2016-03-03 06:28:55.000000
3,1,3,6.5,7.5,2016-03-03 06:43:36.000000,2016-03-03 06:43:36.000000
5,2,5,0.0,1.0,2016-03-03 06:45:51.000000,2016-03-03 06:47:09.000000
8,4,8,280.0,450.0,2016-03-03 06:48:08.000000,2016-03-03 06:48:08.000000
9,4,9,0.0,280.0,2016-03-03 06:48:33.000000,2016-03-03 06:48:33.000000
11,5,8,45.0,90.0,2016-03-03 06:51:57.000000,2016-03-03 06:51:57.000000
12,5,9,0.0,45.0,2016-03-03 06:52:17.000000,2016-03-03 06:52:17.000000
14,6,8,200.0,350.0,2016-03-03 07:32:09.000000,2016-03-03 07:32:09.000000
15,6,9,0.0,200.0,2016-03-03 07:32:27.000000,2016-03-03 07:32:27.000000
17,7,8,10.0,15.0,2016-03-03 07:33:19.000000,2016-03-03 07:33:19.000000
18,7,9,0.0,10.0,2016-03-03 07:33:32.000000,2016-03-03 07:33:32.000000
20,10,11,0.0,4.5,2016-03-03 07:34:38.000000,2016-03-03 07:34:38.000000
22,11,11,0.0,1.0,2016-03-03 07:38:41.000000,2016-03-03 07:38:41.000000
24,12,11,0.0,0.2,2016-03-03 07:39:20.000000,2016-03-03 07:39:20.000000
26,9,11,0.0,0.36,2016-03-03 07:40:00.000000,2016-03-03 07:40:00.000000
28,8,11,0.0,0.6,2016-03-03 07:40:34.000000,2016-03-03 07:40:34.000000
7,4,7,450.0,1000.0,2016-03-03 06:47:43.000000,2016-03-03 06:47:43.000000
10,5,7,90.0,1000.0,2016-03-03 06:51:40.000000,2016-03-03 06:51:40.000000
13,6,7,350.0,1000.0,2016-03-03 07:31:53.000000,2016-03-03 07:31:53.000000
30,3,8,0.5,0.75,2016-03-30 06:44:41.156267,2016-03-30 06:44:41.156267
31,3,9,0.0,0.5,2016-03-30 06:45:36.793770,2016-03-30 06:45:36.793770
33,17,11,0.0,0.86,2016-04-30 11:31:48.602012,2016-04-30 11:31:48.602012
25,9,10,0.36,1000.0,2016-03-03 07:39:47.000000,2016-06-10 13:49:17.570341
23,12,10,0.2,1000.0,2016-03-03 07:39:07.000000,2016-06-10 13:49:41.895728
19,10,10,4.5,1000.0,2016-03-03 07:34:26.000000,2016-06-10 13:50:27.639035
16,7,7,15.0,1000.0,2016-03-03 07:33:04.000000,2016-06-13 12:16:40.875818
32,17,10,0.86,1000.0,2016-04-30 11:31:31.144374,2016-06-13 12:17:05.749145
29,3,7,0.75,1000.0,2016-03-30 06:44:03.247066,2016-06-13 12:18:16.492348
27,8,10,0.6,1000.0,2016-03-03 07:40:23.000000,2016-06-13 12:18:52.762258
6,2,6,1.0,1000.0,2016-03-03 06:46:32.000000,2016-06-13 12:19:22.511476
4,1,4,7.5,1000.0,2016-03-03 06:43:58.000000,2016-06-13 12:19:52.103334
21,11,10,1.0,1000.0,2016-03-03 07:38:26.000000,2016-06-13 12:20:54.412257
